date,season,home_team,away_team,home_team_goals,away_team_goals
30/04/2022,2021,Sutton United,Bradford City,1,4
30/04/2022,2021,Swindon Town,Barrow,2,1
30/04/2022,2021,Tranmere Rovers,Oldham Athletic,2,0
02/05/2022,2021,Salford City,Mansfield Town,2,2
02/05/2022,2021,Port Vale,Newport County,1,2
07/05/2022,2021,Barrow,Northampton Town,1,3
07/05/2022,2021,Bradford City,Carlisle United,2,0
07/05/2022,2021,Bristol Rovers,Scunthorpe United,7,0
14/05/2022,2021,Exeter City,Port Vale,0,1
14/05/2022,2021,Harrogate Town A.F.C.,Sutton United,0,2
14/05/2022,2021,Hartlepool United,Colchester United,0,2
21/05/2022,2021,Leyton Orient,Tranmere Rovers,0,1
21/05/2022,2021,Mansfield Town,Forest Green Rovers,2,2
28/05/2022,2021,Newport County,Rochdale,0,2
28/05/2022,2021,Oldham Athletic,Crawley Town,3,3
04/06/2022,2021,Stevenage Borough,Salford City,4,2
04/06/2022,2021,Walsall,Swindon Town,0,3
